Country,GDPc,GDPp,Date,Currency
Luxembourg,106343,109715,Dec/23,USD
Ireland,91648,99677,Dec/23,USD
Switzerland,89556,90043,Dec/23,USD
Cayman Islands,81412,79587,Dec/23,USD
Norway,78912,79435,Dec/23,USD
United States,65875,64342,Dec/23,USD
Singapore,65422,67949,Dec/23,USD
Qatar,65111,64316,Dec/23,USD
Australia,61584,61010,Dec/23,USD
Denmark,61296,60249,Dec/23,USD
Macau,59602,34122,Dec/23,USD
Iceland,59096,57933,Dec/23,USD
Sweden,54450,54878,Dec/23,USD
Netherlands,51306,51778,Dec/23,USD
United Kingdom,47323,47551,Dec/23,USD
Austria,46339,47251,Dec/23,USD
Finland,45589,46356,Dec/23,USD
Belgium,44731,44584,Dec/23,USD
Canada,44469,45227,Dec/23,USD
Germany,44337,44180,Dec/23,USD
Hong Kong,43573,43282,Dec/23,USD
Israel,42853,42710,Dec/23,USD
United Arab Emirates,42508,42688,Dec/23,USD
New Zealand,41767,42321,Dec/23,USD
Andorra,40227,39780,Dec/23,USD
France,39117,38881,Dec/23,USD
Euro Area,37970,37932,Dec/23,USD
Japan,36990,36203,Dec/23,USD
European Union,34601,34527,Dec/23,USD
South Korea,34121,33690,Dec/23,USD
Italy,34088,33840,Dec/23,USD
Malta,33001,31925,Dec/23,USD
Cyprus,32341,32015,Dec/23,USD
Bahamas,31054,30400,Dec/23,USD
Puerto Rico,30123,29820,Dec/23,USD
Brunei,28725,28549,Dec/23,USD
Spain,28570,28168,Dec/23,USD
Slovenia,25709,25277,Dec/23,USD
Bahrain,25077,25187,Dec/23,USD
Kuwait,24155,26508,Dec/23,USD
Saudi Arabia,23332,24305,Dec/23,USD
Guyana,23103,17365,Dec/23,USD
Portugal,22292,22043,Dec/23,USD
St Kitts and Nevis,21506,21047,Dec/23,USD
Greece,21139,20596,Dec/23,USD
Czech Republic,20246,20627,Dec/23,USD
Estonia,20123,21081,Dec/23,USD
Barbados,19734,18959,Dec/23,USD
Slovakia,19239,18960,Dec/23,USD
Lithuania,18686,18885,Dec/23,USD
Uruguay,18296,18214,Dec/23,USD
Oman,18099,19069,Dec/23,USD
Antigua and Barbuda,18091,17507,Dec/23,USD
Poland,17391,17179,Dec/23,USD
Croatia,17147,16616,Dec/23,USD
Panama,16873,15917,Dec/23,USD
Seychelles,16715,16189,Dec/23,USD
Latvia,16704,16407,Dec/23,USD
Hungary,16283,16343,Dec/23,USD
Trinidad and Tobago,16062,15868,Dec/23,USD
Turkey,14714,14055,Dec/23,USD
Costa Rica,14319,13686,Dec/23,USD
Chile,14227,14272,Dec/23,USD
Argentina,12933,13183,Dec/23,USD
Romania,12399,12115,Dec/23,USD
Palau,12380,12130,Dec/23,USD
China,12175,11556,Dec/23,USD
Maldives,11486,11007,Dec/23,USD
Kazakhstan,11453,11058,Dec/23,USD
St Lucia,11440,11224,Dec/23,USD
Malaysia,11430,11174,Dec/23,USD
Mauritius,11319,10570,Dec/23,USD
Russia,10421,10030,Dec/23,USD
Mexico,10242,10011,Dec/23,USD
Bulgaria,9820,9551,Dec/23,USD
Grenada,9728,9406,Dec/23,USD
St Vincent and the Grenadines,9386,8790,Dec/23,USD
Brazil,9258,9032,Dec/23,USD
Dominican Republic,8857,8731,Dec/23,USD
Montenegro,8403,7889,Dec/23,USD
Dominica,8400,7984,Dec/23,USD
Serbia,8211,7857,Dec/23,USD
Turkmenistan,7880,7551,Dec/23,USD
Libya,7633,7008,Dec/23,USD
Cuba,7450,7291,Dec/22,USD
Botswana,7236,7160,Dec/23,USD
Suriname,7195,7081,Dec/23,USD
Colombia,6819,6854,Dec/23,USD
Peru,6553,6662,Dec/23,USD
Gabon,6542,6527,Dec/23,USD
Bosnia and Herzegovina,6507,6327,Dec/23,USD
Belarus,6483,6207,Dec/23,USD
Paraguay,6432,6218,Dec/23,USD
Thailand,6394,6273,Dec/23,USD
Macedonia,6394,6251,Dec/23,USD
Ecuador,6238,6148,Dec/23,USD
Belize,6212,6269,Dec/23,USD
Georgia,6181,5736,Dec/23,USD
Lebanon,5909,5973,Dec/22,USD
South Africa,5747,5784,Dec/23,USD
Fiji,5737,5363,Dec/23,USD
Iran,5668,5461,Dec/23,USD
Azerbaijan,5651,5595,Dec/23,USD
Marshall Islands,5470,5517,Dec/23,USD
Albania,5420,5155,Dec/23,USD
Jamaica,5329,5215,Dec/23,USD
Armenia,5151,4791,Dec/23,USD
Equatorial Guinea,5118,5524,Dec/23,USD
Kosovo,4889,4666,Dec/23,USD
Algeria,4660,4544,Dec/23,USD
El Salvador,4481,4349,Dec/23,USD
Guatemala,4471,4385,Dec/23,USD
Mongolia,4457,4206,Dec/23,USD
Cape Verde,4196,3998,Dec/23,USD
Indonesia,4193,4025,Dec/23,USD
Egypt,4178,4089,Dec/23,USD
Iraq,4176,4400,Dec/23,USD
Samoa,4003,3711,Dec/23,USD
Sri Lanka,3969,4036,Dec/23,USD
Namibia,3965,3904,Dec/23,USD
Tunisia,3959,3983,Dec/23,USD
Jordan,3950,3910,Dec/23,USD
Vietnam,3760,3604,Dec/23,USD
Philippines,3746,3578,Dec/23,USD
Moldova,3729,3596,Dec/23,USD
Swaziland,3726,3582,Dec/23,USD
Uzbekistan,3726,3577,Dec/23,USD
Morocco,3403,3326,Dec/23,USD
Bhutan,3336,3191,Dec/22,USD
Bolivia,3226,3173,Dec/23,USD
Micronesia,2986,2977,Dec/23,USD
West Bank and Gaza,2863,3100,Dec/23,USD
Laos,2649,2589,Dec/23,USD
Vanuatu,2628,2632,Dec/23,USD
Honduras,2527,2482,Dec/23,USD
Papua New Guinea,2497,2467,Dec/23,USD
Nigeria,2416,2399,Dec/23,USD
Angola,2333,2382,Dec/23,USD
Ivory Coast,2303,2223,Dec/23,USD
Nicaragua,2257,2188,Dec/23,USD
India,2236,2086,Dec/23,USD
Ukraine,2160,1875,Dec/23,USD
Ghana,2087,2066,Dec/23,USD
Cambodia,2084,2011,Dec/23,USD
Kiribati,2003,1954,Dec/23,USD
Solomon Islands,1945,1933,Dec/23,USD
Bangladesh,1885,1804,Dec/23,USD
Kenya,1808,1748,Dec/23,USD
Republic of the Congo,1677,1686,Dec/23,USD
Pakistan,1664,1697,Dec/23,USD
Mauritania,1630,1577,Dec/23,USD
Cameroon,1467,1459,Dec/23,USD
Senegal,1463,1433,Dec/23,USD
Zimbabwe,1411,1362,Dec/23,USD
Tajikistan,1407,1326,Dec/23,USD
Comoros,1383,1368,Dec/23,USD
Sao Tome and Principe,1381,1403,Dec/23,USD
Zambia,1331,1299,Dec/23,USD
Benin,1300,1256,Dec/23,USD
East Timor,1278,1578,Dec/23,USD
Kyrgyzstan,1264,1212,Dec/23,USD
Haiti,1219,1257,Dec/23,USD
Myanmar,1178,1175,Dec/23,USD
Nepal,1136,1114,Dec/23,USD
Sierra Leone,1102,1066,Dec/23,USD
Tanzania,1093,1071,Dec/23,USD
Guinea,1028,988,Dec/23,USD
Rwanda,1004,948,Dec/23,USD
Lesotho,974,968,Dec/23,USD
Uganda,956,933,Dec/23,USD
Togo,922,886,Dec/23,USD
Ethiopia,875,844,Dec/23,USD
Yemen,859,904,Dec/23,USD
Sudan,767,973,Dec/23,USD
Mali,763,747,Dec/23,USD
Guinea Bissau,752,737,Dec/23,USD
Burkina Faso,739,736,Dec/23,USD
Gambia,728,711,Dec/23,USD
Liberia,653,638,Dec/23,USD
Mozambique,610,596,Dec/23,USD
Chad,567,570,Dec/23,USD
Malawi,557,561,Dec/23,USD
Niger,541,547,Dec/23,USD
Congo,537,511,Dec/23,USD
Madagascar,448,442,Dec/23,USD
Central African Republic,398,399,Dec/23,USD
Afghanistan,380,378,Dec/23,USD
Burundi,254,254,Dec/23,USD
