..,Country,Gini Coefficient (%),1,2,3
,South Africa,63%,2014,63%,2014
,Namibia,59.1%,2015,59.1%,2015
,Colombia,54.8%,2022,54.8%,2022
,Eswatini,54.6%,2016,54.6%,2016
,Botswana,53.3%,2015,53.3%,2015
,Brazil,52%,2022,52%,2022
,Zambia,51.5%,2022,51.5%,2022
,Angola,51.3%,2018,51.3%,2018
,Mozambique,50.3%,2019,50.5%,2019
,Zimbabwe,50.3%,2019,50.3%,2020
,Republic of the Congo,48.9%,2011,-,
,Panama,48.9%,2023,48.9%,2023
,Guatemala,48.3%,2014,48.3%,2014
,Honduras,48.2%,2019,48.2%,2019
,Costa Rica,46.7%,2023,47.2%,2022
,Nicaragua,46.2%,2014,46.2%,2014
,Comoros,45.3%,2014,45.3%,2014
,Paraguay,45.1%,2022,45.1%,2022
,Guyana,45%,1998,-,
,Lesotho,44.9%,2017,44.9%,2017
,DR Congo,44.7%,2020,44.7%,2020
,Venezuela,44.7%,2006,-,
,Ecuador,44.6%,2023,45.5%,2022
,Turkey,44.4%,2021,44.4%,2021
,South Sudan,44.1%,2016,44.1%,2016
,Grenada,43.8%,2018,43.8%,2018
,Rwanda,43.7%,2016,43.7%,2016
,Saint Lucia,43.7%,2015,51.2%,2016
,Mexico,43.5%,2022,43.5%,2022
,Ghana,43.5%,2016,43.5%,2016
,Chile,43%,2022,43%,2022
,Central African Republic,43%,2021,43%,2021
,Uganda,42.7%,2019,42.7%,2019
,Madagascar,42.6%,2012,-,
,Cameroon,42.2%,2021,42.2%,2021
,Papua New Guinea,41.9%,2009,-,
,Djibouti,41.6%,2017,41.6%,2017
,United States,41.3%,2022,39.8%,2021
,Haiti,41.1%,2012,-,
,Bolivia,40.9%,2021,40.9%,2021
,Turkmenistan,40.8%,1998,-,
,Philippines,40.7%,2021,40.7%,2021
,Argentina,40.7%,2022,40.7%,2022
,Malaysia,40.7%,2021,40.7%,2021
,Sao Tome and Principe,40.7%,2017,40.7%,2017
,Uruguay,40.6%,2022,40.6%,2022
,Tanzania,40.5%,2018,40.5%,2018
,Peru,40.3%,2022,40.3%,2022
,Jamaica,40.2%,2021,40.2%,2021
,Trinidad and Tobago,40.2%,1992,-,
,Micronesia,40.1%,2013,-,
,Morocco,39.5%,2013,-,
,Suriname,39.2%,2022,39.2%,2022
,Tuvalu,39.1%,2010,-,
,Bulgaria,39%,2021,39%,2021
,Laos,38.8%,2018,38.8%,2018
,El Salvador,38.8%,2022,38.8%,2022
,Gambia,38.8%,2020,38.8%,2020
,Kenya,38.7%,2021,38.7%,2021
,Malawi,38.5%,2019,38.5%,2019
,Gabon,38%,2017,38%,2017
